audit_id,audit_batch_id,release_version,audited_at,reviewer,audit_method,audit_decision,audit_confidence,audit_tags,audit_note,stratum,edge_id,subject_id,subject_name,subject_category,predicate,qualified_predicate,object_id,object_name,object_category,evidence_count,edge_confidence_score,source_xref,supporting_document_year,supporting_text_section_type,study_result_id,extraction_confidence_score,subject_mention,object_mention,subject_mention_match,object_mention_match,supporting_text
tmkp-2026-04-21-edge-audit-batch-001-0001,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,medium,adverse_or_risk_context|mention_mismatch|short_mention_risk,short mention has low lexical agreement with normalized node; mention text has weak lexical agreement with normalized label,chemical_disease_contributes,urn:uuid:eea29575-b9ef-4e81-ba73-e0b9a657390b,CHEBI:9907,ursodiol,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0002049,thrombocytopenia,biolink:Disease,2,0.716479,PMC3430272,2012,INTRO,tmkp:1c15d5a7f4c97d7349598855740a75489c206e93d67c002312b77df5fe41e84a,0.716479,UDCA,thrombocytopenia,false,true,"Long standing use of UDCA is recognized to be associated with tubulointerstitial nephritis, leukocytoclastic vasculitis, skin rash, thrombocytopenia, recurrent wheezy chest, cough and interstitial lung disease."
tmkp-2026-04-21-edge-audit-batch-001-0002,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,partially_supported,medium,adverse_or_risk_context|biomarker_or_expression_context|mechanism_context|model_or_assay_context,risk/adverse language matches broad contributes_to semantics,chemical_disease_contributes,urn:uuid:32d1938b-dda4-45d1-b549-7dc417fff558,DRUGBANK:DB10551,Pea,biolink:ChemicalEntity,biolink:contributes_to,,MONDO:0002251,hepatitis,biolink:Disease,4,0.574254,PMID:12574385,2003,abstract,tmkp:917b5916bdfbbdf0e8b4599a85c055e3d19a8a63439eb897347d51f14b2ee799,0.57669,PEA,hepatitis,true,true,"Surprisingly, only parenchymal TNFR2 expression, but not the TNFR2 expression on leukocytes, contributed to PEA-induced hepatitis, as shown by analysis of wild-type --> tnfr2 degrees and the reciprocal mouse bone marrow chimeras."
tmkp-2026-04-21-edge-audit-batch-001-0003,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,medium,mention_mismatch,mention text has weak lexical agreement with normalized label,chemical_disease_contributes,urn:uuid:45dfbee3-535d-48b2-bb88-ae00ab64e37a,CHEBI:38867,anaesthetic,biolink:ChemicalEntity,biolink:contributes_to,,MONDO:0023757,meralgia paresthetica,biolink:Disease,1,0.704607,PMID:7933481,1994,title,tmkp:1d5c53af8731faed894866ea051767270d8dcb8cdbb0ea619c8dcf5c66e167d7,0.704607,anesthesia,Meralgia paresthetica,false,true,[Meralgia paresthetica after spinal anesthesia].
tmkp-2026-04-21-edge-audit-batch-001-0004,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,partially_supported,medium,adverse_or_risk_context|treatment_context,risk/adverse language matches broad contributes_to semantics,chemical_disease_contributes,urn:uuid:c9b7ffe3-6790-41e2-be23-6fe2f76f7e47,CHEBI:63580,Ribavirin,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0005359,drug-induced liver injury,biolink:Disease,1,0.841944,PMC6759438,2018,INTRO,tmkp:50b1a7ad0c9df31e40776bf02a1b7bbdde20e7bf2d01eccaceabe7d923a3bc2b,0.841944,ribavirin,drug-induced liver injury,true,true,"We present a case of an Asian, Malay male with HCV-induced compensated liver cirrhosis who developed the syndrome of inappropriate secretion of anti-diuretic hormone (SIADH) and drug-induced liver injury (DILI) following treatment with VP+ribavirin."
tmkp-2026-04-21-edge-audit-batch-001-0005,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,partially_supported,medium,adverse_or_risk_context,risk/adverse language matches broad contributes_to semantics,chemical_disease_contributes,urn:uuid:cc1671d5-cba5-4b06-80de-60efd8af0458,CHEBI:2948,Azathioprine,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0021718,polyneuritis,biolink:Disease,1,0.907035,PMID:7362975,1980,title,tmkp:632894c241467d8155f7b5ad201e5d88512c7539f99468ed3ce2f84ba2e32a86,0.907035,azathioprine,Polyneuritis,true,true,Polyneuritis associated with azathioprine sensitivity reaction.
tmkp-2026-04-21-edge-audit-batch-001-0006,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,partially_supported,medium,adverse_or_risk_context,risk/adverse language matches broad contributes_to semantics,chemical_disease_contributes,urn:uuid:a5c8ebd1-8796-4638-a4d3-5f2eaa7d55d9,CHEBI:76172,Loxoprofen,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0005249,pneumonia,biolink:Disease,19,0.757697,PMC4880964,2016,ABSTRACT,tmkp:4cf4f0c8133f44c98ecb206cde3759238e8135ca7c8ebcb84f79cc3cda012560,0.757798,loxoprofen,pneumonia,true,true,This is the first report of loxoprofen-induced pneumonia.
tmkp-2026-04-21-edge-audit-batch-001-0007,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,partially_supported,medium,adverse_or_risk_context|model_or_assay_context|treatment_context,risk/adverse language matches broad contributes_to semantics,chemical_disease_contributes,urn:uuid:73a20b25-2fed-4070-98fb-b4349f61a48d,UNII:DLE8519RWM,ENFORTUMAB,biolink:ChemicalEntity,biolink:contributes_to,,MONDO:0025667,limbal stem cell deficiency,biolink:Disease,1,1.16523,PMC7863123,2020,INTRO,tmkp:fa7b009544b8eb4e70f66046693821f559d1d2cd7ba44cf0151220aaf248b314,1.16523,enfortumab vedotin,limbal stem cell deficiency,true,true,"Ocular disorders occurred in 46% of the 310 patients treated with enfortumab vedotin, and the majority of these events involved the cornea and included keratitis, blurred vision, limbal stem cell deficiency, and other events associated with dry eyes."
tmkp-2026-04-21-edge-audit-batch-001-0008,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,medium,adverse_or_risk_context|mention_mismatch|model_or_assay_context,mention text has weak lexical agreement with normalized label,chemical_disease_contributes,urn:uuid:6d913c58-240a-4083-bf13-242a44270e41,DRUGBANK:DB14313,Lawsonia inermis leaf,biolink:ChemicalEntity,biolink:contributes_to,,MONDO:0019013,non-histaminic angioedema,biolink:Disease,3,1.09393,PMC2872353,2010,INTRO,tmkp:cf0022da585237ffade5a6dce819c37e619674823a20e7d7b31c96b3c047c468,1.09393,henna,angioneurotic edema,false,false,"Acute allergic contact dermatitis, eczema, chemical burn, acute renal failure, acute and severe angioneurotic edema, abdominal pain and vomiting as adverse health effects associated with the use of henna containing PPD (black henna) are well documented in the literature."
tmkp-2026-04-21-edge-audit-batch-001-0009,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,medium,mention_mismatch|short_mention_risk,short mention has low lexical agreement with normalized node; mention text has weak lexical agreement with normalized label,chemical_disease_contributes,urn:uuid:9127a93e-800f-4e25-8b69-6b3bb5dc7eed,CHEBI:46024,Trichostatin A,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0005129,cataract,biolink:Disease,1,0.721033,PMC6934598,2019,RESULTS,tmkp:bc85cdc57d41dcf00a05c974d7736b134fc34d06a047e3f1fbe4cfd31b888139,0.721033,TSA,lens opacity,false,false,"This analysis also suggested that galactose and TSA increased lens opacity, while C646 decreased lens opacity (Fig.?2b)."
tmkp-2026-04-21-edge-audit-batch-001-0010,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,partially_supported,medium,adverse_or_risk_context,risk/adverse language matches broad contributes_to semantics,chemical_disease_contributes,urn:uuid:d51b0db9-6b69-4dc6-90fc-73b5d88cb439,CHEBI:5138,Fluvoxamine,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0024361,circadian rhythm sleep disorder,biolink:Disease,1,0.964382,PMID:15744215,2001,abstract,tmkp:fc127b6d8a74ae2fbb90aa074232463be7b0cb7a682a411b808615678552fa5d,0.964382,fluvoxamine,circadian rhythm sleep disorders,true,true,We describe here 10 cases of circadian rhythm sleep disorders (CRSD)--and not merely insomnia--as a possible side effect of fluvoxamine (FVA).
