audit_id,manual_reviewer,manual_reviewed_at,manual_edge_support,manual_predicate_fit,manual_normalization_fit,manual_error_tags,manual_notes
tmkp-2026-04-21-edge-audit-batch-002-2501,codex-manual,2026-05-04,unsupported,bad,good,negated_context,ABCA1 is contrasted with ABCB1 and does not directly bind or extrude amyloid beta
tmkp-2026-04-21-edge-audit-batch-002-2502,codex-manual,2026-05-04,supported,good,good,,TFE3 negatively regulates myogenin promoter activity by direct binding
tmkp-2026-04-21-edge-audit-batch-002-2503,codex-manual,2026-05-04,supported,partial,good,competence_context,VSX2 restricts OTX2 competence while OTX2 acts upstream of VSX2
tmkp-2026-04-21-edge-audit-batch-002-2504,codex-manual,2026-05-04,partially_supported,partial,bad,family_mention_fanout,HDAC7 associates with MEF2 to repress transcription but object is MYEF2
tmkp-2026-04-21-edge-audit-batch-002-2505,codex-manual,2026-05-04,unsupported,bad,good,list_context,S100A8 and CD52 are expression list entries under carbon monoxide exposure
tmkp-2026-04-21-edge-audit-batch-002-2506,codex-manual,2026-05-04,unsupported,bad,good,self_edge,BaP induces IAP2 but this is not a BIRC2 self causal mechanism
tmkp-2026-04-21-edge-audit-batch-002-2507,codex-manual,2026-05-04,unsupported,bad,bad,wrong_subject|list_context,EIF4GP gene list context does not support GTPBP1 to SEC24B
tmkp-2026-04-21-edge-audit-batch-002-2508,codex-manual,2026-05-04,unsupported,bad,good,parallel_pathway_effects,Akt pathway inhibition and DDHD1 silencing are separate effects
tmkp-2026-04-21-edge-audit-batch-002-2509,codex-manual,2026-05-04,unsupported,bad,bad,cell_type_error,SCAP refers to stem cells from apical papilla not SH2D2A
tmkp-2026-04-21-edge-audit-batch-002-2510,codex-manual,2026-05-04,partially_supported,partial,good,downstream_requirement_context,HGF induced lamellipodia formation requires Cdc42 or Rac activity
tmkp-2026-04-21-edge-audit-batch-002-2511,codex-manual,2026-05-04,unsupported,bad,bad,wrong_object|wrong_direction,Lactate via MCT1 activates VEGF pathway and does not support VEGFA to MCTS1
tmkp-2026-04-21-edge-audit-batch-002-2512,codex-manual,2026-05-04,unsupported,bad,bad,method_context,Cas9 gene editing method is not BCAR1
tmkp-2026-04-21-edge-audit-batch-002-2513,codex-manual,2026-05-04,unsupported,bad,good,parallel_deficiency_context,LEF1 and TCF1 deficiency is a combined Wnt signaling context with no causal edge
tmkp-2026-04-21-edge-audit-batch-002-2514,codex-manual,2026-05-04,unsupported,bad,good,wrong_direction,PPME1 is downregulated in IMP1 depleted cells rather than causing IMP1
