audit_id,manual_reviewer,manual_reviewed_at,manual_edge_support,manual_predicate_fit,manual_normalization_fit,manual_error_tags,manual_notes
tmkp-2026-04-21-edge-audit-batch-001-0001,codex-manual,2026-05-04,supported,good,good,,UDCA is ursodiol and the text says long-standing use is associated with thrombocytopenia.
tmkp-2026-04-21-edge-audit-batch-001-0002,codex-manual,2026-05-04,unsupported,good,bad,normalization_error|abbreviation_collision|model_or_assay_only,PEA-induced hepatitis is supported in a mouse chimera context, but the normalized subject label Pea is not supported by the abbreviation.
tmkp-2026-04-21-edge-audit-batch-001-0003,codex-manual,2026-05-04,partially_supported,partial,partial,predicate_overbroad,The title supports meralgia paresthetica after spinal anesthesia, but the normalized subject is a broad anaesthetic concept.
tmkp-2026-04-21-edge-audit-batch-001-0004,codex-manual,2026-05-04,partially_supported,partial,good,cohort_or_exposure_only,The case supports DILI following combination treatment including ribavirin, but not ribavirin alone.
tmkp-2026-04-21-edge-audit-batch-001-0005,codex-manual,2026-05-04,supported,good,good,,The title directly states polyneuritis associated with azathioprine sensitivity reaction.
tmkp-2026-04-21-edge-audit-batch-001-0006,codex-manual,2026-05-04,supported,good,good,,The evidence directly states loxoprofen-induced pneumonia.
tmkp-2026-04-21-edge-audit-batch-001-0007,codex-manual,2026-05-04,supported,good,good,,The evidence reports limbal stem cell deficiency among ocular events in patients treated with enfortumab vedotin.
tmkp-2026-04-21-edge-audit-batch-001-0008,codex-manual,2026-05-04,partially_supported,partial,partial,normalization_error|predicate_overbroad,The text supports angioneurotic edema from black henna containing PPD; Lawsonia leaf and non-histaminic angioedema are only approximate.
tmkp-2026-04-21-edge-audit-batch-001-0009,codex-manual,2026-05-04,partially_supported,partial,partial,predicate_overbroad,TSA increased lens opacity; cataract is a related broader disease concept.
tmkp-2026-04-21-edge-audit-batch-001-0010,codex-manual,2026-05-04,supported,good,good,,The evidence describes circadian rhythm sleep disorders as a possible side effect of fluvoxamine.
tmkp-2026-04-21-edge-audit-batch-001-0011,codex-manual,2026-05-04,unsupported,bad,bad,normalization_error|abbreviation_collision,BMD in the text means bone mineral density, not vitelliform macular dystrophy 2.
tmkp-2026-04-21-edge-audit-batch-001-0012,codex-manual,2026-05-04,partially_supported,partial,good,model_or_assay_only,The evidence supports resiquimod-induced heart disease in a mouse model, not necessarily a human disease assertion.
tmkp-2026-04-21-edge-audit-batch-001-0013,codex-manual,2026-05-04,supported,good,good,,The evidence reports liquorice ingestion resulting in nephrogenic diabetes insipidus.
tmkp-2026-04-21-edge-audit-batch-001-0014,codex-manual,2026-05-04,unsupported,bad,partial,model_or_assay_only|predicate_overbroad,The infection is a model phenotype context and LTB4 is not asserted to contribute to bacterial infectious disease.
tmkp-2026-04-21-edge-audit-batch-001-0015,codex-manual,2026-05-04,unsupported,bad,partial,cohort_or_exposure_only|predicate_overbroad,The patient developed UTI during treatment for vitamin D intoxication; vitamin D is not asserted to cause the infection.
tmkp-2026-04-21-edge-audit-batch-001-0016,codex-manual,2026-05-04,unclear,unclear,good,negation_or_hedging,The text only raises the issue of whether formaldehyde in smoke is associated with bronchial cancer.
tmkp-2026-04-21-edge-audit-batch-001-0017,codex-manual,2026-05-04,unsupported,bad,partial,model_or_assay_only|predicate_overbroad,The blueberry diet is studied as neuroprotective in a rat retinopathy model, not as contributing to retinal disease.
tmkp-2026-04-21-edge-audit-batch-001-0018,codex-manual,2026-05-04,partially_supported,partial,partial,generic_object|model_or_assay_only,Ammonia induced malignant lesions in an animal stomach model, but the object cancer is generic.
tmkp-2026-04-21-edge-audit-batch-001-0019,codex-manual,2026-05-04,unsupported,bad,good,negation_or_hedging,The text says patients did not develop ECG signs of myocardial ischemia after nisoldipine administration.
tmkp-2026-04-21-edge-audit-batch-001-0020,codex-manual,2026-05-04,unsupported,bad,good,predicate_overbroad,The text describes exocrine pancreatic insufficiency plus vitamin C overconsumption as context for oxalate nephropathy, not vitamin C causing EPI.
tmkp-2026-04-21-edge-audit-batch-001-0021,codex-manual,2026-05-04,unsupported,bad,good,predicate_overbroad,The text contrasts endogenous ochronosis due to alkaptonuria with exogenous ochronosis caused by hydroquinone; hydroquinone does not cause alkaptonuria.
tmkp-2026-04-21-edge-audit-batch-001-0022,codex-manual,2026-05-04,unsupported,bad,good,cohort_or_exposure_only,Remifentanil was used for sedation while antibiotics treated pneumonia; no contribution to pneumonia is asserted.
tmkp-2026-04-21-edge-audit-batch-001-0023,codex-manual,2026-05-04,supported,good,good,,Resolution after stopping triamcinolone supports triamcinolone contributing to obesity.
tmkp-2026-04-21-edge-audit-batch-001-0024,codex-manual,2026-05-04,unsupported,bad,good,negation_or_hedging,The text says there were no significant differences in cancer progression with proflavine exposure.
tmkp-2026-04-21-edge-audit-batch-001-0025,codex-manual,2026-05-04,unsupported,bad,good,predicate_overbroad,Brefeldin A is described as inducing apoptosis in malignancies, not contributing to colon cancer.
